"id","type","title","latitude","longitude","address","description","phone"
"adult-education-01","Adult Education","Catherine House Incorporated,Eastern Adelaide",,,"12 Queen Street, Adelaide, 5000",8232 2282
"adult-education-02","Adult Education","Centacare Catholic Family Services",,,"33 Wakefield Street,ADELAIDE,5000","Foundation Skills Accredited",8210 8200
"adult-education-03","Adult Education","DOME Association Inc",,,"Level 1, 54 Currie Street, Adelaide, 5000","Foundation Skills Accredited",8410 4344
"adult-education-04","Adult Education","Catherine House Inc","12 Queen Street, Adelaide, 5000","Foundation Skills Non-Accredited",8232 2282
"adult-education-05","Adult Education","Centacare Catholic Family Services","33 Wakefield Street, ADELAIDE, 5000","Foundation Skills Non-Accredited",8210 8200
"adult-education-06","Adult Education","Centre for Equality Ltd","81 Currie Street, ADELAIDE, 5000","Foundation Skills Non-Accredited",8110 1200
"adult-education-07","Adult Education","Community Transitions","234 Sturt Street, ADELAIDE, 5000","Foundation Skills Non-Accredited",8210 0800
"adult-education-08","Adult Education","SPARK Resource Centre Inc","213 Gouger Street, ADELAIDE, 5000","Foundation Skills Non-Accredited",8212 3255
"adult-education-09","Adult Education","Young Women's Christan Association of Adelaide (YWCA)","17 Hutt Street, Adelaide, 5000","Foundation Skills Accredited",8203 9400
"adult-education-10","Adult Education","Hutt St Centre","258 Hutt Street, ADELAIDE, 5000","Foundation Skills Accredited",8418 2500
"adult-education-11","Adult Education","Hutt Street Centre","258 Hutt Street, ADELAIDE, 5000","Foundation Skills Non-Accredited",8418 2500
"adult-education-12","Adult Education","Muslim Women's Association of SA Inc","Level 4, 182 Victoria Square, ADELAIDE, 5000","Foundation Skills Non-Accredited",8212 0800
"adult-education-13","Adult Education","Northern Area Migrant Resource Centre of South Australia (MRCSA)"
,"59 King William Street, ADELAIDE, 5000","Foundation Skills Non-Accredited",8217 9510